,Number of features,Test error,Train error,Norm of the weights,Square Train error,Square train Test error,Zero one Train error,Zero one train Test error
0,1000.0,,,11.545420871851324,0.9837329621380325,1.0181461152875164,0.8194,0.8947
1,1142.0,,,13.06891897760482,0.9817259417610287,1.020616341782705,0.8149500000000001,0.8965
2,1285.0,,,14.53125048218099,0.9788824732344452,1.020119927624596,0.80645,0.9004
3,1428.0,,,15.535594431251246,0.9755021526615969,1.0224710015752845,0.8019333333333334,0.8968
4,1571.0,,,16.910986106098747,0.9721782547916826,1.0313194856592531,0.7952,0.9031
5,1714.0,,,17.796700135082197,0.9708647803404319,1.029678357583083,0.7893,0.9017
6,1857.0,,,18.809489297689503,0.9686771702289393,1.032309805896572,0.7834833333333333,0.8993
7,2000.0,,,19.784394462934905,0.9655405166799007,1.0351118358304539,0.7801833333333333,0.8945
8,2142.0,,,20.66898328005385,0.9656727274342476,1.0336361570830974,0.7726333333333333,0.9051
9,2285.0,,,21.29234701888435,0.9629775712767191,1.0377959981724056,0.7709833333333334,0.8998
10,2428.0,,,22.2387890911384,0.9578359411146256,1.046445185313514,0.7686333333333333,0.901
11,2571.0,,,23.060248593881802,0.955973659272831,1.0406994642979759,0.7591833333333333,0.9
12,2714.0,,,23.956757167857827,0.9551705802640317,1.0544911274899875,0.7526166666666667,0.8974
13,2857.0,,,24.539088003766224,0.9530034615045525,1.05148210258969,0.7496666666666667,0.9037
14,3000.0,,,25.49215558242717,0.949391103629631,1.055939083130656,0.7417833333333334,0.8965
